"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Gene"
"FAM219A",4.61528522833961,5.19220194078063,1.78271384175853,0.000371542871256417,0.00278676874401509,"FAM219A"
"CKM",15.6388597546938,5.19090304577896,1.32774525981781,6.13411024110671e-06,0.000116038971642676,"CKM"
"VIM",69.3123020987149,5.18764027766416,0.923814860775832,2.0347661302377e-10,3.36962231772859e-08,"VIM"
"UPK1B",20.2173515028352,5.1863513400186,1.69580287060399,0.000180870687402556,0.00159344369307077,"UPK1B"
"MAL2",49.2620050822959,5.18399677265941,1.29235573474206,8.90671485827954e-07,2.52732505346081e-05,"MAL2"
"PRMT2",21.7452217996808,5.18381943373634,1.20979954645465,3.87052781843287e-07,1.29301249650768e-05,"PRMT2"
"SREBF2",50.7096245824748,5.17227250111406,1.00858951336495,6.58550701728339e-09,5.31567001698906e-07,"SREBF2"
"BICC1",8.04709355814543,5.17190782813037,1.37325937113454,9.10453241505024e-06,0.000160020084026213,"BICC1"
"KRT6A",384.393177147675,5.17080809529664,0.961387865635739,9.62526472488533e-09,7.01106267151312e-07,"KRT6A"
"LPP",235.285765989281,5.16887283914629,0.685286036562321,7.34091262029326e-15,1.15260484708182e-11,"LPP"
"RAVER1",10.8482286083467,5.16833060072271,1.28016561935631,3.3710495137208e-06,7.24103160717145e-05,"RAVER1"
"ADAMTS14",16.809299865372,5.15898877421458,1.27447222745544,5.63589899306049e-06,0.000108060907287568,"ADAMTS14"
"CSRNP1",7.30819912129971,5.15488970708706,1.69559934592272,0.000132696128012736,0.00125342846587432,"CSRNP1"
"IGSF3",30.8741643610954,5.15445450962268,0.954536390765666,1.10022214171553e-08,7.65873846531143e-07,"IGSF3"
"RPS29",52.6621751144846,5.15031240063346,0.871377383638422,7.47080647536065e-10,9.05688613660821e-08,"RPS29"
"FTH1",96.486250376463,5.14954672939826,0.773213556087148,2.84429127656501e-12,1.29653806545613e-09,"FTH1"
"CNIH1",5.43426626280427,5.14943276183527,1.8226390559235,0.000925745601726363,0.00564353369197378,"CNIH1"
"MEST",4.98343072720728,5.14117920914088,1.84530386109317,0.000669388647590772,0.00437008028877045,"MEST"
"RPS20",113.710835157478,5.14015497699157,0.711809143522721,6.40723646728558e-14,6.08550900387622e-11,"RPS20"
"KARS1",7.60444645712432,5.13894322127119,1.59335427544306,3.82624840274844e-05,0.000471989373085347,"KARS1"
"RPS6",36.0854865363,5.13715332408707,1.0541677861819,1.34128827615109e-08,9.11237722610148e-07,"RPS6"
"CSDE1",48.4255323296078,5.13619093018388,0.979144480621845,4.50711706855981e-09,3.88354093267187e-07,"CSDE1"
"PCYT1A",14.4079679570575,5.13441893771762,1.19160476334795,2.96270245954381e-07,1.07348585784137e-05,"PCYT1A"
"RFTN1",6.99056377889257,5.12972544267785,1.63135387284139,6.13658998716255e-05,0.000676413050769064,"RFTN1"
"POM121",48.4474968615696,5.12682773776582,0.904435617356429,1.963579275158e-09,1.9540379392435e-07,"POM121"
"SLC6A8",64.5440450640833,5.12462956553205,0.928483742815283,7.36349846627831e-09,5.7807553792766e-07,"SLC6A8"
"INO80E",20.5949321155453,5.12325668307301,1.23977455827392,7.53826925129039e-07,2.21923505812468e-05,"INO80E"
"PKD1P1",59.8780861508885,5.12098152508855,1.05448186162718,1.81158469280373e-07,7.25198393598004e-06,"PKD1P1"
"SSR2",34.1489578793302,5.11929059486792,0.859814207087914,3.87430265345398e-10,5.31531755300565e-08,"SSR2"
"ATP5MC2",30.7279888007192,5.11307934475873,0.868310584751689,3.25319043417002e-10,4.55156772527293e-08,"ATP5MC2"
"VARS1",22.0996456313688,5.10891261394139,1.28088481710157,2.65410071786237e-06,5.93435082976474e-05,"VARS1"
"APOD",6.2617718377527,5.10790810038742,1.71857091960679,0.000227073578460243,0.00190884993290999,"APOD"
"PTCH1",71.1026644898688,5.10613675072815,1.10411709058963,3.57157548516787e-07,1.22499837817736e-05,"PTCH1"
"RPL14",48.059387989552,5.10364516541707,0.914726048810818,1.17112378193826e-09,1.29290235645074e-07,"RPL14"
"SARAF",11.6566368349529,5.09902876611512,1.33012239703376,3.86110917972825e-06,8.08316056573924e-05,"SARAF"
"POLR2A",204.865973139064,5.09601751600543,1.01701849471298,5.43783134844023e-08,2.84599980684477e-06,"POLR2A"
"NELFB",15.0143774437386,5.09435323001876,1.28808185838473,4.50012902786892e-06,9.05859306165466e-05,"NELFB"
"FOSL1",24.1870005143622,5.08937415099848,1.36266567022102,1.82544270110001e-05,0.000268701362596294,"FOSL1"
"ATF4",25.538677894284,5.08902954937056,1.17145784743119,9.05185052531088e-07,2.55312773998339e-05,"ATF4"
